,Country (or dependency),Region,Year,Infant_deaths,Incidents_HIV,GDP_per_capita,Population_mln,Schooling,Economy_status_Developed,Life_expectancy,avg_vax_rate,ISO
71,Italy,European Union,2015,3.0,0.06,30242.0,60.73,10.2,1,82.5,90.5,ITA
72,Guinea-Bissau,Africa,2015,60.0,1.58,603.0,1.74,2.9,0,57.0,80.25,GNB
73,Iraq,Middle East,2015,24.8,0.13,4688.0,35.57,6.6,0,69.9,65.5,IRQ
74,Denmark,European Union,2015,3.5,0.03,53255.0,5.68,12.5,1,80.7,88.5,DNK
75,Rwanda,Africa,2015,34.6,0.59,751.0,11.37,4.0,0,67.5,95.5,RWA
76,Poland,European Union,2015,4.2,0.08,12578.0,37.99,12.1,1,77.5,95.0,POL
77,Iran,Middle East,2015,13.3,0.04,5201.0,78.49,9.8,0,75.8,89.75,IRN
78,Mauritius,Africa,2015,12.8,0.7,9260.0,1.26,9.1,0,74.4,97.0,MUS
79,Solomon Islands,Oceania,2015,19.3,0.17,2167.0,0.6,5.4,0,72.2,86.5,SLB
80,Chad,Africa,2015,75.7,0.42,776.0,14.11,2.3,0,53.1,52.0,TCD
81,Armenia,Rest of Europe,2015,12.6,0.09,3607.0,2.93,11.6,0,74.5,95.25,ARM
82,Niger,Africa,2015,51.8,0.06,484.0,20.0,1.8,0,60.6,69.25,NER
83,United Kingdom,Rest of Europe,2015,3.8,0.08,45405.0,65.12,12.8,1,81.0,91.5,GBR
84,Honduras,Central America and Caribbean,2015,16.5,0.07,2302.0,9.11,6.3,0,74.5,93.75,HND
85,Egypt,Africa,2015,19.8,0.13,3563.0,92.44,7.1,0,71.3,85.75,EGY
86,Australia,Oceania,2015,3.3,0.04,56707.0,23.82,12.8,1,82.4,93.0,AUS
87,Mexico,North America,2015,13.9,0.16,9617.0,121.86,8.6,0,74.9,88.0,MEX
88,Guatemala,Central America and Caribbean,2015,23.7,0.03,3995.0,15.57,6.3,0,73.3,75.0,GTM
89,Qatar,Middle East,2015,6.7,0.06,63039.0,2.57,9.8,0,79.8,97.0,QAT
90,Mauritania,Africa,2015,55.0,0.15,1524.0,4.05,4.3,0,63.9,69.25,MRT
